"TMDB_ID","DID"
636,1
838,1
1895,1
1894,1
1893,1
12,7
10681,7
49529,7
9487,7
585,8
10193,8
12,8
14160,10
13,24
2310,24
5255,24
105,24
686,24
165,24
196,24
9326,24
856,24
17979,24
87502,24
2655,24
8358,24
59861,31
9591,31
25,39
4148,39
37724,39
4147,39
14,39
19255,39
15,40
16,42
17609,42
62215,42
249397,42
553,42
18,59
240832,59
11227,59
112205,59
832,68
19,68
2266,90
86555,98
122917,108
7980,108
120,108
254,108
10779,108
1024,108
763,108
122,108
121,108
57158,108
49051,108
68718,138
1991,138
16869,138
393,138
500,138
680,138
5,138
184,138
24,138
97430,150
37414,172
55931,183
149,185
88794,190
44603,190
22954,190
3683,190
1251,190
13223,190
3580,190
9559,190
688,190
11901,190
8879,190
10015,190
33,190
322,190
70,190
5551,190
10747,190
190859,190
209451,190
585,197
35,197
4953,201
38,201
40805,201
4960,202
470,223
45958,223
194662,223
1164,223
55,223
59,224
2252,224
837,224
49014,224
48231,224
1946,224
157851,224
9426,224
11336,224
12690,228
694,240
3175,240
802,240
967,240
247,240
62,240
935,240
600,240
185,240
975,240
345,240
63,280
68,280
762,280
8054,280
4442,280
157834,280
36819,280
1878,280
4543,280
177,280
219,309
8987,323
65,323
11931,323
2118,323
82684,323
37834,366
76170,366
3558,366
2832,366
2142,366
69,366
5176,366
11232,366
1607,380
1247,380
6973,455
1640,455
43539,455
192145,455
71,468
206563,468
64685,468
590,468
8055,468
578,488
87,488
89,488
839,488
644,488
640,488
857,488
180,488
10110,488
330,488
873,488
840,488
879,488
424,488
329,488
601,488
85,488
17578,488
57212,488
612,488
72976,488
594,488
217,488
74,488
11831,488
687,504
49526,508
12797,508
1586,508
11601,508
210860,508
62213,510
62214,510
12155,510
869,510
3933,510
13885,510
268,510
522,510
32085,510
2668,510
162,510
4011,510
364,510
75,510
587,510
118,510
87093,510
249,518
10830,518
7288,518
12572,524
49026,525
27205,525
1124,525
77,525
272,525
155,525
11660,525
320,525
157336,525
157353,559
92591,564
132344,564
9081,564
80,564
9571,564
76,564
1584,564
3509,564
85350,564
109091,578
147441,578
70981,578
20662,578
9726,578
855,578
4105,578
9740,578
12113,578
4982,578
348,578
78,578
1495,578
11976,578
4421,578
7270,578
98,578
1541,578
9550,607
9361,638
9008,638
949,638
8489,638
201088,638
11454,638
11322,638
1538,638
82,638
7007,648
9549,648
9036,664
7305,664
6488,664
10329,664
10658,686
2005,716
88,716
90,769
9013,769
9475,769
297,769
73,814
74308,814
134374,865
1858,865
9737,865
9802,865
8373,865
91314,865
38356,865
1635,865
95,865
676,865
8961,865
7220,876
51209,876
68734,880
23168,880
4771,880
744,893
9566,893
319,893
2119,893
9509,893
44048,893
18487,893
8963,893
9923,893
1535,893
9798,893
9319,893
96,893
7551,893
256917,934
100,956
107,956
10528,956
58574,956
10851,956
13809,956
207703,957
4836,957
23483,957
2270,957
49538,957
164251,1011
106646,1032
44826,1032
11324,1032
1422,1032
203,1032
769,1032
1578,1032
103,1032
524,1032
11873,1032
1598,1032
3131,1032
2567,1032
50780,1038
4959,1071
1427,1071
2266,1071
83542,1071
10782,1090
1669,1090
913,1090
1911,1090
1572,1090
9593,1090
106,1090
562,1090
10030,1098
6279,1103
5236,1108
68721,1108
34480,1114
11236,1128
2067,1150
6075,1150
117,1150
8688,1150
7340,1150
111,1150
954,1150
109099,1150
9676,1150
820,1152
9563,1152
82525,1152
33909,1152
1852,1152
792,1152
10537,1152
241,1152
1966,1152
10673,1152
2604,1152
51828,1176
24684,1176
270302,1176
11130,1201
32856,1201
4806,1201
114,1201
9880,1201
62838,1201
10780,1201
9637,1215
11355,1215
41513,1215
77931,1215
9600,1215
14405,1215
13499,1215
11024,1215
9714,1215
5516,1223
6977,1223
4944,1223
12573,1223
10778,1223
2266,1223
44264,1223
86829,1223
11368,1223
134,1223
290,1223
11775,1223
378,1223
379,1223
115,1223
275,1223
11934,1223
5516,1224
6977,1224
12573,1224
11775,1224
2266,1224
4944,1224
44264,1224
86829,1224
214030,1241
229297,1243
160588,1243
81836,1243
59436,1243
38031,1243
512,1243
19265,1243
5038,1243
4787,1243
116,1243
703,1243
10849,1243
696,1243
9922,1269
2055,1269
9804,1269
581,1269
62837,1270
2266,1357
152760,1461
3291,1461
10316,1461
11153,1524
11977,1524
137,1524
9932,1524
1636,1524
17610,1524
9535,1524
22825,1577
141,1577
1927,1614
87827,1614
142,1614
4584,1614
1714,1650
6963,1704
565,1704
44896,1704
22,1704
57201,1704
285,1704
6283,1704
58,1704
6073,1704
100241,1707
43930,1707
70074,1723
9333,1723
11474,1723
9604,1723
150,1723
9876,1724
8452,1724
714,1724
6951,1724
11667,1726
15121,1744
1725,1744
152,1744
828,1744
172,1748
12154,1749
168,1749
157,1749
96936,1769
39210,1769
1887,1769
1443,1769
153,1769
240,1776
7095,1776
238,1776
242,1776
227,1776
11975,1776
28,1776
592,1776
6114,1776
154,1788
174,1788
2103,1884
1900,1884
462,1884
163,1884
39538,1884
1389,1884
298,1884
161,1884
11323,1884
8881,1884
77930,1884
70435,1884
109421,1884
6471,1895
38050,1921
164,1927
936,1927
10428,1978
167,1978
2309,1978
9913,1978
170,2034
1907,2034
44115,2034
68727,2034
627,2034
12405,2034
1683,2042
10586,2042
2157,2042
10160,2042
169,2042
12149,2053
9610,2087
11165,2087
9626,2087
12101,2087
11835,2127
176,2127
49018,2127
91586,2127
138843,2127
14001,2127
203834,2150
22804,2150
6023,2163
2266,2163
1646,2163
109491,2163
13401,2171
6435,2171
87818,2171
264656,2176
169917,2199
8270,2199
1996,2209
11618,2209
1639,2209
664,2209
1637,2209
77887,2216
9576,2226
37233,2226
11963,2226
606,2226
179,2226
5915,2228
409,2239
2289,2239
1213,2239
12572,2245
13455,2291
186,2291
8285,2293
187,2293
189,2293
23631,2294
56288,2294
10054,2294
14199,2294
1992,2294
5,2294
755,2294
8068,2294
187,2294
9276,2294
1428,2294
12279,2294
9488,2294
9367,2294
189,2294
106747,2294
655,2303
978,2352
192,2352
853,2352
193,2380
199,2388
200,2388
406,2406
9381,2406
4970,2406
892,2419
8078,2419
157841,2419
10590,2460
9313,2460
236751,2460
615,2461
197,2461
1579,2461
11808,2523
2320,2523
201,2523
205,2589
284296,2632
574,2636
571,2636
539,2636
381,2636
260,2636
521,2636
426,2636
567,2636
213,2636
223,2636
303,2636
845,2636
1580,2636
1585,2662
212,2662
3078,2662
214,2675
215,2675
663,2675
11917,2679
8619,2690
207,2690
37165,2690
9281,2690
49009,2690
19995,2710
2756,2710
679,2710
280,2710
597,2710
218,2710
36955,2710
654,2746
221,2765
624,2778
133805,2836
226,2836
59468,2880
231,2945
235,3026
7350,3026
253235,3026
2800,3026
2493,3026
1700,3026
639,3026
11031,3026
43949,3026
9087,3026
881,3026
3432,3028
8874,3045
20048,3045
10601,3045
51999,3055
209276,3055
19918,3055
5,3110
5,3111
437,3115
996,3146
599,3146
6620,3146
239,3146
284,3146
205220,3224
1165,3224
243,3224
