"TMDB_ID","GENRE_NAME"
11323,"Comedy"
11323,"Crime"
11323,"Drama"
11323,"Thriller"
12569,"Comedy"
19912,"Horror"
19912,"Mystery"
18501,"Action"
18501,"Thriller"
18501,"Science Fiction"
22794,"Animation"
22794,"Comedy"
22794,"Family"
18570,"Documentary"
25643,"Drama"
25643,"Romance"
23827,"Horror"
23827,"Mystery"
23128,"Documentary"
12573,"Comedy"
12573,"Drama"
23202,"Horror"
23202,"Thriller"
22798,"Drama"
23082,"Comedy"
23082,"Romance"
23082,"Fantasy"
19959,"Thriller"
19959,"Action"
19959,"Science Fiction"
19908,"Comedy"
19908,"Horror"
28665,"Music"
28665,"Comedy"
28665,"Drama"
28665,"Romance"
22787,"Action"
22787,"Crime"
22787,"Mystery"
22787,"Thriller"
24684,"Drama"
24684,"Romance"
19899,"Comedy"
19899,"Romance"
23706,"Comedy"
16523,"Family"
16523,"Fantasy"
12572,"Drama"
12572,"Comedy"
12572,"Romance"
22803,"Drama"
22803,"Crime"
22803,"Thriller"
8386,"Comedy"
12589,"Adventure"
12589,"Fantasy"
12589,"Animation"
12589,"Action"
12589,"Comedy"
12589,"Science Fiction"
12589,"Family"
11232,"Fantasy"
11232,"Comedy"
11232,"Science Fiction"
11232,"Romance"
120,"Adventure"
120,"Fantasy"
120,"Action"
453,"Drama"
453,"Romance"
8489,"Drama"
855,"Action"
855,"History"
855,"War"
5279,"Drama"
5279,"Comedy"
5279,"Thriller"
5279,"Mystery"
10950,"Drama"
1365,"Drama"
1365,"Romance"
9610,"Adventure"
9610,"Fantasy"
9610,"Action"
11888,"Adventure"
11888,"Comedy"
11888,"Family"
150,"Thriller"
150,"Action"
150,"Comedy"
150,"Crime"
150,"Drama"
651,"Comedy"
651,"Drama"
651,"War"
11362,"Action"
11362,"Adventure"
11362,"Drama"
11362,"Thriller"
2637,"Drama"
2637,"Mystery"
2637,"Thriller"
2637,"Horror"
10229,"Drama"
10229,"Family"
10229,"Romance"
11870,"Comedy"
11870,"Family"
9884,"Action"
9884,"Thriller"
9884,"Drama"
11212,"Action"
11212,"Adventure"
11212,"Comedy"
11212,"Family"
11528,"Comedy"
11528,"Family"
10592,"Drama"
10592,"War"
8470,"Drama"
8470,"Thriller"
8470,"Crime"
16690,"Adventure"
16690,"Fantasy"
16690,"Animation"
16690,"Family"
39939,"Comedy"
39939,"Crime"
39939,"Mystery"
9272,"Drama"
9272,"Horror"
9272,"Thriller"
11979,"Drama"
11979,"Fantasy"
11979,"Horror"
1887,"Drama"
1887,"History"
1781,"Documentary"
10947,"TV Movie"
10947,"Drama"
10947,"Comedy"
10947,"Music"
10947,"Family"
9615,"Action"
9615,"Crime"
9615,"Drama"
9615,"Thriller"
9513,"Animation"
9513,"Comedy"
9513,"Family"
1452,"Adventure"
1452,"Fantasy"
1452,"Action"
1452,"Science Fiction"
773,"Comedy"
773,"Drama"
1164,"Drama"
9072,"Comedy"
9072,"Crime"
9297,"Animation"
9297,"Comedy"
9297,"Family"
9297,"Fantasy"
326,"Action"
512,"Comedy"
512,"Mystery"
9718,"Comedy"
1593,"Action"
1593,"Adventure"
1593,"Comedy"
1593,"Family"
